Ijevan	40.87877	45.14851	14737
Hrazdan	40.49748	44.7662	40795
Armavir	40.15446	44.03815	25963
Gyumri	40.7942	43.84528	148381
Garrni	40.11931	44.73442	6827
Dilijan	40.7417	44.8501	13478
Chambarak	40.59655	45.35498	6153
Byureghavan	40.31417	44.59333	6972
Berd	40.88135	45.38901	8374
Ashtarak	40.2991	44.36204	18779
Aparan	40.59323	44.3589	5670
Alaverdi	41.09766	44.67316	13184
Akhuryan	40.78003	43.90027	7672
Abovyan	40.27368	44.63348	35673
Saurimo	-9.66078	20.39155	40498
Lucapa	-8.41915	20.74466	20115
Luau	-10.70727	22.22466	18465
Léua	-11.65	20.45	5168
Uíge	-7.60874	15.06131	60008
Soio	-6.1349	12.36894	67491
N'zeto	-7.23116	12.8666	18352
N’dalatando	-9.29782	14.91162	383100
Mbanza Kongo	-6.26667	14.23833	24220
Malanje	-9.54015	16.34096	87046
Luanda	-8.83682	13.23432	2776168
Caxito	-8.57848	13.66425	28224
Camabatela	-8.18812	15.37495	12837
Cabinda	-5.55	12.2	66020
Uacu Cungo	-11.35669	15.11719	10970
Sumbe	-11.20605	13.84371	33277
Quibala	-10.73366	14.97995	8915
Ondjiva	-17.06667	15.73333	10169
Moçâmedes	-15.19611	12.15222	80149
Menongue	-14.6585	17.69099	32203
Luena	-11.78333	19.91667	21115
Lubango	-14.91717	13.4925	102541
Longonjo	-12.90667	15.25333	24346
Lobito	-12.3644	13.53601	207932
Cuito	-12.38333	16.93333	113624
Huambo	-12.77611	15.73917	226145
Chissamba	-12.16667	17.33333	7677
Catumbela	-12.43002	13.54677	16977
Catabola	-12.15	17.28333	18855
Camacupa	-12.01667	17.48333	19150
Caconda	-13.73333	15.06667	10549
Caála	-12.8525	15.56056	21205
Benguela	-12.57626	13.40547	151226
Chela	-12.30261	15.43358	5811
Zárate	-34.09814	-59.02858	88781
Wanda	-25.96879	-54.56285	15529
Villa Ortúzar	-34.57973	-58.46829	22500
Villa Ocampo	-28.48752	-59.35515	19101
Villa María Grande	-31.66565	-59.90182	7101
Villa Lugano	-34.67907	-58.47263	114000
Villa Hernandarias	-31.23097	-59.98464	5375
Villaguay	-31.8653	-59.02689	32027
Villa Gesell	-37.26394	-56.97304	23257
Villa Elisa	-32.1632	-58.40082	9334
Villa de Mayo	-34.5108	-58.68059	43405
Veinticinco de Mayo	-27.37679	-54.74312	11928
Urdinarrain	-32.68573	-58.89323	7992
Tortuguitas	-34.47513	-58.75367	41390
Tigre	-34.42603	-58.57962	31106
Tandil	-37.32167	-59.13316	104325
San Vicente	-26.61667	-54.13333	38247
Santo Tomé	-28.54939	-56.04077	22634
Santo Pipó	-27.14132	-55.40867	5447
Santa Rosa	-28.26318	-58.11891	8330
Santa Lucía	-28.98746	-59.10287	14056
Santa Elena	-30.94432	-59.78832	18410
San Salvador	-31.62487	-58.50524	11626
San Pedro	-33.67918	-59.66633	47452
San Pedro	-26.62207	-54.10842	23736
San Miguel	-27.99585	-57.58964	7396
San Luis del Palmar	-27.5079	-58.55454	15347
San Lorenzo	-28.13306	-58.76733	47626
San José de Feliciano	-30.38452	-58.75167	11137
San José	-27.76979	-55.7826	6452
San Javier	-30.57781	-59.9317	15606
San Isidro	-34.4721	-58.52708	45190
San Clemente del Tuyú	-36.35694	-56.72351	11174
Saladas	-28.25384	-58.62591	18349
Rosario del Tala	-32.30286	-59.14545	13807
Retiro	-34.58333	-58.38333	38635
Resistencia	-27.46056	-58.98389	387158
Reconquista	-29.15	-59.65	90184
Quilmes	-34.72904	-58.26374	230000
Puerto Vilelas	-27.51414	-58.93906	8455
Puerto Tirol	-27.37218	-59.08206	9767
Puerto Rico	-26.79598	-55.02402	17491
Puerto Piray	-26.46937	-54.70736	8557
Puerto Libertad	-25.91958	-54.58229	6143
Puerto Iguazú	-25.59912	-54.57355	32038
Puerto Esperanza	-26.02267	-54.61356	15579
Puerto Eldorado	-26.40843	-54.69463	54189
Presidencia de la Plaza	-27.00147	-59.84243	12231
Posadas	-27.36708	-55.89608	323739
Pontevedra	-34.74785	-58.70072	33515
Pirané	-25.73239	-59.10879	19124
Pilar	-34.45866	-58.9142	226517
Perugorría	-29.34132	-58.61059	5685
Paso de los Libres	-29.71251	-57.08771	43805
Paso de la Patria	-27.31676	-58.57197	5818
Panambí	-27.72369	-54.91515	5970
Pampa del Indio	-26.04982	-59.93728	11588
Palo Santo	-25.56332	-59.33781	5324
Oberá	-27.48706	-55.11994	56528
Nuestra Señora del Rosario de Caa Catí	-27.75072	-57.62073	7573
Necochea	-38.5545	-58.73961	80478
Muñiz	-34.55622	-58.70739	26221
Morón	-34.6509	-58.61956	319934
Monte Caseros	-30.25359	-57.63626	24671
Montecarlo	-26.5662	-54.757	22229
Mocoretá	-30.61891	-57.96344	6088
Merlo	-34.66627	-58.72927	244168
Mercedes	-34.65145	-59.43068	52949
Mercedes	-29.18416	-58.07519	30649
Mburucuyá	-28.04532	-58.22835	9012
Margarita Belén	-27.2616	-58.97219	5547
Mar del Plata	-38.00042	-57.5562	553935
Malabrigo	-29.34636	-59.96957	7026
Maciá	-32.1722	-59.39947	5806
Luján	-34.57028	-59.105	81749
Los Polvorines	-34.50316	-58.70596	53354
Las Toscas	-28.3529	-59.25795	11811
Larroque	-33.03595	-59.00125	6200
La Plata	-34.92145	-57.95453	694167
La Paz	-30.74179	-59.64517	24716
La Leonesa	-27.03786	-58.70347	10067
La Cruz	-29.17443	-56.64326	8591
Jardín América	-27.04346	-55.22698	24905
Itatí	-27.27043	-58.24458	7902
Ibarreta	-25.21438	-59.85851	8687
Hurlingham	-34.5904	-58.62904	60000
Gualeguaychú	-33.00937	-58.51722	78676
Gualeguay	-33.14156	-59.30966	33120
Goya	-29.13995	-59.26343	70245
Gobernador Roca	-27.18636	-55.46433	6315
Gobernador Virasora	-28.05	-56.03333	28756
General Pacheco	-34.45256	-58.64312	43287
General José de San Martín	-26.53743	-59.34158	31758
Garupá	-27.48171	-55.82921	28814
Garuhapé	-26.81768	-54.95665	8259
Formosa	-26.18489	-58.17313	221383
Fontana	-27.41813	-59.02392	26745
Federal	-30.95465	-58.78326	16333
Federación	-31.00621	-57.89962	13789
Esquina	-30.01476	-59.5289	26399
El Soberbio	-27.29847	-54.19877	19571
El Colorado	-26.30808	-59.37291	12780
El Alcázar	-26.71459	-54.81523	5127
Dos de Mayo	-27.02277	-54.68669	14544
